id,name,phone,email

1,Teja,1234,grk.saiteja@yahoo.com

2,John,5678,john@gmail.com

3,Paul,9876,paul@gmail.com

4,Sai,4567,sai@gmail.com

5,T,7854,t@gmail.com

6,David,7854,david@gmail.com

7,Sai Teja,55678,krishnasaiteja@yahoo.com

8,Sai Teja,55678,krishnasaiteja@yahoo.com

9,Don,5677,Don@yahoo.com

10,Lily,356899,lily@hotmail.com

11,Lotus,4567,lotus@yahoo.com

12,Lotus,4567,lotus@yahoo.com

13,David,7854,david@gmail.com

14,Teja,12345,asd@dff.com

15,Teja,12345,asd@dff.com

16,Sai Teja,55678,krishnasaiteja@yahoo.com

17,Don,5677,Don@yahoo.com

18,Lily,356899,lily@hotmail.com

19,Lotus,4567,lotus@yahoo.com

20,Megha,7777,Megha@yahoo.com

21,Adarsh,9999,adarsh@hotmail.com

22,Megha,7777,Megha@yahoo.com

23,Adarsh,9999,adarsh@hotmail.com

24,Krishna,2345,krishna@yahoo.com

25,GRK,1234,grk@gmail.com

